topic_slug,question,A,B,C,D,correct_answer,explanation_vi,difficulty
chu-de-1-may-tinh-va-cong-dong-bai-3-thong-tin-trong-may-tinh,Đơn vị nào sau đây KHÔNG phải là đơn vị đo dung lượng thông tin cơ bản?,Kilobyte (KB),Megabyte (MB),Terabyte (TB),Pixel (PX),D,"Pixel là điểm ảnh, không phải đơn vị đo dung lượng thông tin. Các đơn vị đo dung lượng thông tin là Byte, KB, MB, GB, TB.",1
chu-de-1-may-tinh-va-cong-dong-bai-3-thong-tin-trong-may-tinh,1 Kilobyte (KB) bằng bao nhiêu Byte?,1000 Byte,1024 Byte,8 Byte,100 Byte,B,Mỗi đơn vị lớn hơn gấp 1024 lần đơn vị nhỏ hơn liền kề.,2
chu-de-1-may-tinh-va-cong-dong-bai-3-thong-tin-trong-may-tinh,Một tệp tin có dung lượng là 2 Megabyte (MB). Vậy tệp tin đó có dung lượng bao nhiêu Kilobyte (KB)?,2000 KB,1024 KB,2048 KB,4096 KB,C,1 MB = 1024 KB. Vậy 2 MB = 2 * 1024 KB = 2048 KB.,3
chu-de-1-may-tinh-va-cong-dong-bai-3-thong-tin-trong-may-tinh,Dung lượng thẻ nhớ điện thoại hoặc ổ cứng máy tính thường được đo bằng đơn vị nào để lưu trữ nhiều dữ liệu?,Bit hoặc Byte,Kilobyte (KB),Megabyte (MB),Gigabyte (GB) hoặc Terabyte (TB),D,"Dung lượng thẻ nhớ điện thoại được đo bằng GB, dung lượng ổ cứng máy tính được đo bằng TB.",2
chu-de-2-mang-may-tinh-va-intern-bai-4-mang-may-tinh,Khái niệm nào sau đây mô tả đúng nhất về mạng máy tính?,Là một chiếc máy tính có cấu hình mạnh.,Là hai hay nhiều máy tính và thiết bị được kết nối với nhau để truyền thông tin.,Là một phần mềm giúp chơi game trực tuyến.,Là một thiết bị dùng để in ấn tài liệu.,B,Mạng máy tính được định nghĩa là hai hay nhiều máy tính và thiết bị kết nối với nhau để trao đổi thông tin và chia sẻ dữ liệu.,1
chu-de-2-mang-may-tinh-va-intern-bai-4-mang-may-tinh,Mục đích chính của mạng máy tính là gì?,Giúp máy tính chạy nhanh hơn.,Giúp các thiết bị trao đổi thông tin và chia sẻ dữ liệu.,Giúp bảo vệ máy tính khỏi virus.,Giúp máy tính tự động cập nhật phần mềm.,B,Mạng máy tính giúp các thiết bị kết nối với nhau để trao đổi thông tin và chia sẻ dữ liệu.,1
chu-de-2-mang-may-tinh-va-intern-bai-4-mang-may-tinh,Lợi ích nào sau đây KHÔNG phải của mạng máy tính?,"Người dùng có thể liên lạc, trao đổi thông tin với nhau.",Dễ dàng chia sẻ dữ liệu giữa các máy tính.,"Có thể dùng chung các thiết bị như máy in, máy quét.",Giúp máy tính tự động sửa chữa các lỗi phần cứng.,D,"Mạng máy tính mang lại các lợi ích như liên lạc, chia sẻ dữ liệu và dùng chung thiết bị, không phải tự động sửa lỗi phần cứng.",2
chu-de-2-mang-may-tinh-va-intern-bai-4-mang-may-tinh,Các thành phần chính của mạng máy tính bao gồm những gì?,"Thiết bị đầu cuối, thiết bị kết nối và phần mềm mạng.",Chỉ có máy tính và dây cáp.,Chỉ có điện thoại và sóng Wifi.,"Máy in, máy quét và màn hình.",A,"Theo bài học, các thành phần chính của mạng máy tính là thiết bị đầu cuối, thiết bị kết nối và phần mềm mạng.",1
chu-de-2-mang-may-tinh-va-intern-bai-4-mang-may-tinh,"Trong mạng máy tính, thiết bị nào sau đây được coi là thiết bị đầu cuối?",Bộ định tuyến (Router).,Dây cáp mạng.,Điện thoại thông minh.,Bộ chia (Hub).,C,"Thiết bị đầu cuối là các thiết bị dùng để gửi hoặc nhận thông tin trong mạng, ví dụ như máy tính để bàn, điện thoại thông minh, máy in.",1
chu-de-2-mang-may-tinh-va-intern-bai-4-mang-may-tinh,Thiết bị nào dưới đây là một thiết bị kết nối trong mạng máy tính?,Máy tính để bàn.,Máy in.,Bộ định tuyến (Router).,Máy ảnh kỹ thuật số.,C,"Bộ định tuyến (Router) là một thiết bị giúp nối các thiết bị đầu cuối lại với nhau, thuộc nhóm thiết bị kết nối.",1
chu-de-2-mang-may-tinh-va-intern-bai-4-mang-may-tinh,Vai trò của phần mềm mạng trong mạng máy tính là gì?,Giúp điều khiển quá trình truyền dữ liệu và ứng dụng truyền thông.,Giúp thiết bị đầu cuối hoạt động nhanh hơn.,Giúp máy tính tự động cài đặt các trò chơi mới.,Giúp bảo vệ màn hình khỏi bụi bẩn.,A,Phần mềm mạng có vai trò điều khiển quá trình truyền dữ liệu và các ứng dụng truyền thông trong mạng.,1
chu-de-2-mang-may-tinh-va-intern-bai-4-mang-may-tinh,Đường truyền dữ liệu trong mạng máy tính có thể là loại nào?,Chỉ có dây dẫn.,Chỉ có sóng vô tuyến.,"Có dây (cáp) hoặc không dây (Wifi, Bluetooth).",Chỉ dùng qua ổ USB.,C,"Đường truyền dữ liệu có thể là có dây (dây dẫn) hoặc không dây (sóng vô tuyến như Wifi, Bluetooth).",1
chu-de-2-mang-may-tinh-va-intern-bai-4-mang-may-tinh,Lợi ích chính của kết nối không dây so với kết nối có dây là gì?,Tốc độ luôn nhanh hơn kết nối có dây.,"Tiện lợi cho thiết bị di động, dễ lắp đặt và mở rộng.",Chi phí lắp đặt luôn rẻ hơn nhiều.,Không bao giờ bị mất kết nối.,B,"Kết nối không dây tiện lợi cho thiết bị di động, dễ lắp đặt và mở rộng do không cần dây dẫn.",2
chu-de-2-mang-may-tinh-va-intern-bai-4-mang-may-tinh,Mạng không dây giúp tránh được loại sự cố nào?,Sự cố đứt dây do thiên tai hoặc chuột cắn.,Sự cố mất điện đột ngột.,Sự cố máy tính bị virus tấn công.,Sự cố thiết bị đầu cuối bị hỏng.,A,Mạng không dây sử dụng sóng vô tuyến nên tránh được các sự cố vật lý như đứt dây do thiên tai hoặc chuột cắn.,2
chu-de-2-mang-may-tinh-va-intern-bai-4-mang-may-tinh,"Trong tình huống nào sau đây, mạng không dây thể hiện rõ tiện ích của nó?",Kết nối máy tính để bàn với máy in trong cùng một phòng bằng dây cáp.,Sử dụng ổ đĩa USB để sao chép dữ liệu giữa hai máy tính.,Một người dùng điện thoại thông minh để truy cập Internet tại quán cà phê.,Kết nối hai máy tính trong văn phòng bằng dây mạng LAN.,C,"Việc dùng điện thoại truy cập Internet tại quán cà phê là ví dụ điển hình về tiện ích của mạng không dây (Wifi) ở nơi công cộng, cho phép thiết bị di động kết nối dễ dàng.",3
chu-de-2-mang-may-tinh-va-intern-bai-5-internet,Internet là gì?,Một ứng dụng hoặc phần mềm cụ thể trên máy tính.,Một loại hình giải trí trực tuyến phổ biến.,"Một hệ thống mạng lưới máy tính toàn cầu, liên kết các mạng máy tính nhỏ hơn.",Một thiết bị phần cứng để kết nối các máy tính lại với nhau.,C,"Internet là mạng máy tính toàn cầu, liên kết các mạng máy tính nhỏ hơn trên khắp thế giới.",1
chu-de-2-mang-may-tinh-va-intern-bai-5-internet,"Để máy tính có thể truy cập Internet, người dùng cần kết nối và đăng ký với đối tượng nào sau đây?",WWW (World Wide Web).,Một công ty sản xuất máy tính.,Nhà cung cấp dịch vụ Internet (ISP).,Một phần mềm trình duyệt web.,C,Máy tính kết nối Internet qua nhà cung cấp dịch vụ (ISP).,1
chu-de-2-mang-may-tinh-va-intern-bai-5-internet,Hoạt động nào sau đây KHÔNG phải là một trong những mục đích chính khi người dùng truy cập Internet?,Tìm kiếm thông tin.,Chia sẻ thông tin.,Tự sản xuất phần cứng máy tính.,Trao đổi thông tin.,C,"Người dùng truy cập Internet để tìm kiếm, chia sẻ, trao đổi thông tin, không phải để tự sản xuất phần cứng.",2
chu-de-2-mang-may-tinh-va-intern-bai-5-internet,Dịch vụ nào sau đây là một trong những dịch vụ thông tin phổ biến trên Internet?,Hệ điều hành Windows.,Bộ xử lý trung tâm (CPU).,World Wide Web (WWW).,Phần mềm soạn thảo văn bản.,C,WWW là một trong nhiều dịch vụ thông tin khác nhau trên Internet.,1
chu-de-2-mang-may-tinh-va-intern-bai-5-internet,WWW là viết tắt của cụm từ nào và có ý nghĩa gì?,"World Wide Web, là hệ thống thông tin toàn cầu cho phép truy cập tài liệu qua Internet.","Wireless Web World, là công nghệ kết nối mạng không dây.","Web Wide World, là một loại trình duyệt web phổ biến.","World Web Wide, là tên gọi khác của Internet.",A,"WWW (World Wide Web) là hệ thống thông tin toàn cầu, cho phép truy cập tài liệu qua Internet.",1
chu-de-2-mang-may-tinh-va-intern-bai-5-internet,Đặc điểm 'Tính toàn cầu' của Internet có nghĩa là gì?,Internet chỉ kết nối các máy tính trong cùng một thành phố.,Internet là một mạng lưới thuộc sở hữu của một tổ chức quốc tế.,Internet chỉ được sử dụng ở một số quốc gia phát triển.,Internet được sử dụng rộng rãi trên khắp thế giới bởi một phần lớn dân số.,D,"Tính toàn cầu nghĩa là Internet được sử dụng rộng rãi trên khắp thế giới, với hơn một phần ba dân số thế giới dùng Internet.",2
chu-de-2-mang-may-tinh-va-intern-bai-5-internet,"Khi nói Internet có 'Tính tương tác', điều đó có nghĩa là gì?",Internet có khả năng tự động sửa lỗi khi có sự cố.,Người dùng chỉ cho phép giao tiếp giữa máy tính với máy tính.,Người dùng chỉ có thể nhận thông tin mà không thể gửi đi.,Người dùng có thể nhận và gửi thông tin một cách tức thời.,D,Tính tương tác cho phép người dùng nhận và gửi thông tin tức thời.,2
chu-de-2-mang-may-tinh-va-intern-bai-5-internet,"Đặc điểm nào của Internet giúp người dùng có thể tìm kiếm, lưu trữ, chia sẻ thông tin mọi lúc, mọi nơi?",Tính toàn cầu.,Tính tương tác.,Tính dễ tiếp cận.,Tính không chủ sở hữu.,C,"Tính dễ tiếp cận giúp người dùng tìm kiếm, lưu trữ, chia sẻ thông tin mọi lúc, mọi nơi.",2
chu-de-2-mang-may-tinh-va-intern-bai-5-internet,Phát biểu nào sau đây đúng về đặc điểm 'Tính không chủ sở hữu' của Internet?,Internet là một mạng lưới thuộc sở hữu của chính phủ mỗi quốc gia.,Internet là một mạng công cộng toàn cầu và không ai sở hữu nó.,Internet được sở hữu bởi các nhà cung cấp dịch vụ Internet (ISP).,Internet là tài sản của các tập đoàn công nghệ lớn trên thế giới.,B,"Internet là mạng công cộng toàn cầu, không ai sở hữu.",2
chu-de-2-mang-may-tinh-va-intern-bai-5-internet,Lợi ích nào sau đây của Internet giúp học sinh có thể học tiếng Anh với giáo viên nước ngoài qua video call?,"Cung cấp tiện ích phục vụ vui chơi, giải trí.","Trao đổi thông tin nhanh chóng, hiệu quả và học tập trực tuyến.",Internet là mạng công cộng toàn cầu.,Tính dễ tiếp cận thông tin.,B,"Học tiếng Anh qua video call là một hình thức học tập trực tuyến, thuộc lợi ích học tập và trao đổi thông tin nhanh chóng.",3
chu-de-2-mang-may-tinh-va-intern-bai-5-internet,"Ngoài việc học tập và làm việc, Internet còn mang lại lợi ích gì cho đời sống?",Giúp giảm thiểu tương tác xã hội trực tiếp.,"Cung cấp nguồn tài liệu phong phú và tiện ích phục vụ vui chơi, giải trí.",Chỉ dùng để đọc tin tức và gửi thư điện tử.,Giúp người dùng sở hữu các mạng máy tính riêng.,B,"Internet cung cấp nguồn tài liệu phong phú và tiện ích phục vụ đời sống, vui chơi, giải trí.",1
chu-de-3-to-chuc-luu-tru-tim-kie-bai-6-mang-thong-tin-toan-cau,Mạng thông tin toàn cầu còn được gọi là gì?,Internet,Website,World Wide Web,Trình duyệt,C,World Wide Web (WWW) là tên gọi khác của mạng thông tin toàn cầu.,1
chu-de-3-to-chuc-luu-tru-tim-kie-bai-6-mang-thong-tin-toan-cau,World Wide Web (WWW) có vai trò gì?,Là hạ tầng vật lí để kết nối các máy tính.,Là một phần mềm để soạn thảo văn bản.,"Là một dịch vụ trên Internet, liên kết các website trên toàn thế giới.",Là thiết bị để lưu trữ thông tin.,C,"WWW là một dịch vụ trên Internet, có chức năng liên kết các website trên toàn thế giới.",1
chu-de-3-to-chuc-luu-tru-tim-kie-bai-6-mang-thong-tin-toan-cau,Phát biểu nào sau đây đúng khi nói về Internet và World Wide Web (WWW)?,"Internet là hạ tầng, còn WWW là một dịch vụ chạy trên Internet.",Internet và WWW là hai tên gọi khác nhau của cùng một khái niệm.,"WWW là hạ tầng vật lí, còn Internet là các dịch vụ trên hạ tầng đó.",Internet là một dịch vụ chạy trên WWW.,A,"Internet là hạ tầng mạng toàn cầu, còn World Wide Web là một dịch vụ thông tin chạy trên nền tảng Internet.",2
chu-de-3-to-chuc-luu-tru-tim-kie-bai-6-mang-thong-tin-toan-cau,Thông tin trên Internet được tổ chức như thế nào?,Chỉ bao gồm các tài liệu văn bản thuần túy.,Được tạo từ nhiều trang web kết nối với nhau bằng liên kết.,"Được tạo từ nhiều trang web riêng lẻ, không liên quan đến nhau.",Chỉ được lưu trữ trên một máy chủ duy nhất.,B,Thông tin trên Internet được tạo từ nhiều trang web và các trang web này được kết nối với nhau bằng các liên kết.,1
chu-de-3-to-chuc-luu-tru-tim-kie-bai-6-mang-thong-tin-toan-cau,Mỗi trang web trên Internet có đặc điểm gì về địa chỉ?,Tất cả các trang web đều dùng chung một địa chỉ.,Mỗi trang web có một địa chỉ truy cập riêng biệt.,Trang web không cần địa chỉ để truy cập.,Địa chỉ trang web chỉ có thể là số.,B,Mỗi trang web có một địa chỉ truy cập riêng biệt để người dùng có thể tìm đến và xem nội dung của nó.,1
